Name,Start Date,End Date
CS:GO Birthday Event (eSports 2013 Case),21-08-2013,21-08-2013
CS:GO Birthday Event (eSports 2014 Summer Case),21-08-2014,21-08-2014
Holiday/Winter Update (seasonal gifts),17-12-2015,17-12-2015
Halo Sticker Capsule (promo),03-07-2019,03-07-2019
20th Anniversary Update / Sticker Capsule,22-08-2019,22-08-2019
