Name,Start Date,End Date
Regional Minors Era (Asia/Americas/CIS/Europe),01-01-2016,31-12-2019
RMR Online Qualifiers (COVID replacement for Minors),01-04-2020,31-12-2020
2020 RMR Sticker Capsules Released,06-01-2021,06-01-2021
