Name,Start Date,End Date
Counter-Strike 2 Release,27-09-2023,27-09-2023
Early CS2 Economy/Gameplay Tweaks (post-launch hotfixes),01-08-2023,01-08-2023
Major Content Update: Copenhagen 2024 Items (stickers/souvenirs window),17-03-2024,31-03-2024
Major Content Update: Shanghai 2024 Items (stickers/souvenirs window),30-11-2024,15-12-2024
