Name,Start Date,End Date
Skin Gambling Boom,01-01-2016,31-12-2017
Valve C&D Wave on Gambling Sites,13-06-2016,13-06-2016
China/Perfect World Regional Restrictions,14-09-2017,14-09-2017
Seven-day Trade Lock Introduced,29-03-2018,29-03-2018
Keys Made Non-tradable,28-10-2019,28-10-2019
COVID Lockdowns (playerbase spike),01-03-2020,31-12-2021
Counter-Strike 2 Release (CS:GO sunset),27-09-2023,27-09-2023
